Alloy,No,Component,Fraction,a,delta,Elec_nega,D_elec_nega,VEC,d_VEC,BulkModulus,D_Bulk,omega,Phase_inshort
Ni61Zr27Nb8Al4,4,Ni Zr Nb Al,61 27 8 4,1.36447,0.114571912,1.7166,0.254386399,7.7,2.896549672,1.46E+11,49.72482554,44.195386,AM
Al0.8CrCuFeMn1.5Ni,6,Al Cr Cu Fe Mn Ni,0.8 1 1 1 1.5 1,1.299142857,0.0505464,1.732222222,0.147082144,7.603174603,2.440008343,1.41E+11,32.76784122,671.4120348,SS
Ca7Mg6Si14,3,Ca Mg Si,7 6 14,1.465925926,0.238544475,1.535555556,0.39311042,3.037037037,0.999313894,66259259259,36.32935003,34.39161002,IM
Cu60Zr30Ti10,3,Cu Zr Ti,60 30 10,1.3939,0.105535828,1.693,0.259963459,8.2,3.42928564,1.16E+11,31.00235206,79.0097263,AM
FeNiCrMnTi,5,Fe Ni Cr Mn Ti,1 1 1 1 1,1.3096,0.065935799,1.698,0.148781719,7,2,1.48E+11,27.85677655,222.4854005,IM+SS
CoCrFeNiNb0.65,5,Co Cr Fe Ni Nb,1 1 1 1 0.65,1.272225806,0.049750744,1.789247312,0.117740708,7.795698925,1.775333619,1.72E+11,7.73894805,262.0872579,IM+SS
Ni40Cu6Ti16Zr28Al10,5,Ni Cu Ti Zr Al,40 6 16 28 10,1.40104,0.107382417,1.6578,0.247986209,6.72,3.168848371,1.25E+11,48.17613517,58.59120259,AM
La55Al25Ni10Cu10,4,La Al Ni Cu,55 25 10 10,1.64385,0.161917819,1.3885,0.333770505,4.5,3.008321791,66400000000,51.6356466,40.50347296,AM
Ni60Zr28Nb7Al5,4,Ni Zr Nb Al,60 28 7 5,1.36807,0.115247253,1.7109,0.256472591,7.62,2.935234233,1.44E+11,50.54545809,43.47043316,AM
AlCrCuFeNiTi,6,Al Cr Cu Fe Ni Ti,1 1 1 1 1 1,1.318,0.070092151,1.741666667,0.144846662,7,2.943920289,1.39E+11,36.27058802,217.4418109,SS
FeCoNiCrCuAl2.0,6,Fe Co Ni Cr Cu Al,1 1 1 1 1 2.0,1.304142857,0.062570461,1.771428571,0.128444382,7.142857143,2.996596709,1.40E+11,42.58005665,309.1004558,SS
Cu47Ti34Zr11Ni8,4,Cu Ti Zr Ni,47 34 11 8,1.37375,0.086264529,1.7157,0.214113311,7.77,3.420102338,1.25E+11,27.32836718,126.1987764,AM
Ti1Zr1Cu1Ni1Be1,5,Ti Zr Cu Ni Be,1 1 1 1 1,1.3434,0.12527682,1.65,0.224053565,6.2,3.6,1.26E+11,35.85309533,92.76376476,AM
Cu51.5Zr40.5Al8,3,Cu Zr Al,51.5 40.5 8,1.421945,0.108847255,1.64595,0.271608353,7.525,3.590177572,1.07E+11,34.16794834,59.40038843,AM
TiZrNbMoV0.75,5,Ti Zr Nb Mo V,1 1 1 1 0.75,1.440842105,0.067275694,1.653157895,0.281855742,4.789473684,0.766327357,1.48E+11,55.65628756,1417.532844,SS
AlCrNbTiV,5,Al Cr Nb Ti V,1 1 1 1 1,1.3776,0.059023492,1.608,0.039698866,4.6,1.019803903,1.35E+11,36.2789195,220.7996272,IM
NbTiVZr,4,Nb Ti V Zr,1 1 1 1,1.4525,0.070483977,1.525,0.117153745,4.5,0.5,1.28E+11,39.93647299,12479.42184,SS
FeCoNiCrCuAl2.3,6,Fe Co Ni Cr Cu Al,1 1 1 1 1 2.3,1.30939726,0.06402995,1.764794521,0.129795515,6.97260274,3.047444934,1.38E+11,43.60513036,277.1213104,SS
Ni55Nb20Hf5Ti20,4,Ni Nb Hf Ti,55 20 5 20,1.3424,0.082439846,1.7435,0.193604623,7.5,2.783882181,1.61E+11,29.40663191,69.03925567,AM
Nd60Al15Ni10Cu10Fe5,5,Nd Al Ni Cu Fe,60 15 10 10 5,1.51325,0.108609644,1.398,0.327759058,4.75,3.080178566,71100000000,55.41290463,57.74407595,AM
Cu3Sb,2,Cu Sb,3 1,1.291,0.017441255,1.9375,0.064951905,9.5,2.598076211,1.16E+11,42.43524479,133.2758394,IM
Pd75Si25,2,Pd Si,75 25,1.3195,0.072852459,2.125,0.129903811,8.5,2.598076211,1.60E+11,34.64101615,24.43993742,AM
CoCrFeNiTi0.5 ,5,Co Cr Fe Ni Ti,1 1 1 1 0.5,1.270666667,0.05331036,1.788888889,0.126705647,7.777777778,1.930905244,1.66E+11,21.14033066,257.1557766,IM+SS
La55Al25Ni20,3,La Al Ni,55 25 20,1.64065,0.164996524,1.3895,0.335312914,4.4,2.8,70400000000,58.30128644,33.12930367,AM
Al11Cu11Mg4,3,Al Cu Mg,11 11 4,1.392846154,0.081527091,1.686538462,0.208731375,6.230769231,4.097914031,98307692308,37.1905377,559.5169659,IM
FeNiCoSiCrAlTi,7,Fe Ni Co Si Cr Al Ti,1 1 1 1 1 1 1,1.290571429,0.080766107,1.761428571,0.142571142,6.285714286,2.547507786,1.39E+11,39.80975165,95.63909113,SS
FeCrMnNiCo,5,Fe Cr Mn Ni Co,1 1 1 1 1,1.2674,0.032694636,1.766,0.138361844,8,1.414213562,1.62E+11,22.27105745,696.8556652,SS
AgTi3,2,Ag Ti,1 3,1.45775,0.005049711,1.6375,0.168874954,5.75,3.031088913,1.08E+11,4.330127019,661.487015,IM
CuEr,2,Cu Er,1 1,1.517,0.157547792,1.57,0.33,7,4,92000000000,48,47.13054257,IM
Zr66Al8Ni26,3,Zr Al Ni,66 8 26,1.4965,0.103809205,1.5032,0.252463383,5.48,2.692508124,99630000000,47.65922191,35.61305208,AM
Ti45Cu25Ni15Sn3Be7Zr5,6,Ti Cu Ni Sn Be Zr,45 25 15 3 7 5,1.37201,0.09479659,1.6897,0.195153555,6.51,3.410263919,1.26E+11,29.89304355,115.0012025,AM
Co2Mo0.5Ni2VW0.5,5,Co Mo Ni V W,2 0.5 2 1 0.5,1.279166667,0.035703416,1.911666667,0.188274327,8.166666667,1.950783318,1.92E+11,39.33474574,335.8172144,IM+SS
Cu59.6Zr36.9Al3.5,3,Cu Zr Al,59.6 36.9 3.5,1.403315,0.110629231,1.67952,0.272433789,8.137,3.481986646,1.12E+11,33.73291929,57.16713582,AM
Al4Ca,2,Al Ca,4 1,1.5408,0.141225337,1.488,0.244,2.8,0.4,64200000000,23.6,37.91236415,IM
Ni60Zr27Nb8Al5,4,Ni Zr Nb Al,60 27 8 5,1.36633,0.114185823,1.7136,0.253856337,7.63,2.924568344,1.45E+11,50.08005466,44.74428062,AM
Al22Fe3Ti8,3,Al Fe Ti,22 3 8,1.421909091,0.041205297,1.613030303,0.074690669,3.696969697,1.42456476,92787878788,28.31399437,44.39977028,IM
NiCoFeCrMo0.1Al0.3,5,Ni Co Fe Cr Mo Al,1 1 1 1 0.1 0.3,1.249585366,0.014656299,1.828292683,0.108961896,8.195121951,1.501535997,1.74E+11,12.0725548,713.0887448,SS
AuBe5,2,Au Be,1 5,1.180333333,0.09914224,1.731666667,0.361497656,3.5,3.354101966,1.45E+11,33.54101966,0,IM
AlMn,2,Al Mn,1 1,1.391,0.029475198,1.58,0.03,5,2,98000000000,22,44.73480703,IM
Ni40Cu5Ti17Zr28Al10,5,Ni Cu Ti Zr Al,40 5 17 28 10,1.40288,0.106962588,1.6542,0.247055378,6.65,3.150793551,1.25E+11,48.1778995,57.73005598,AM
Cu47Ti33Zr11Ni8Si,5,Cu Ti Zr Ni Si,47 33 11 8 1,1.37066,0.087681274,1.7193,0.214155341,7.77,3.420102338,1.25E+11,27.40270034,119.681308,AM
Al0.5CoCrCuFeNiTi1.0 ,7,Al Co Cr Cu Fe Ni Ti,0.5 1 1 1 1 1 1.0,1.298923077,0.065347465,1.773076923,0.14138788,7.615384615,2.646869313,1.50E+11,32.19320374,287.3588424,IM+SS
AlCoCrFeNi2.1,5,Al Co Cr Fe Ni,1 1 1 1 2.1,1.276983607,0.053807053,1.801803279,0.120375208,7.704918033,2.491587566,1.58E+11,37.04758447,220.0003569,IM+SS
CoZn,2,Co Zn,1 1,1.323,0.054421769,1.765,0.115,10.5,1.5,1.25E+11,55,170.5613405,IM
Cr2Mn11,2,Cr Mn,2 11,1.334461538,0.027307585,1.566923077,0.039688133,6.846153846,0.360801212,1.26E+11,14.43204849,668.1266353,IM
Al0.3NbTa0.8Ti1.4V0.2Zr1.3,6,Al Nb Ta Ti V Zr,0.3 1 0.8 1.4 0.2 1.3,1.4793,0.053047552,1.4988,0.106595309,4.34,0.58685603,1.26E+11,48.19255832,771.2085615,SS
CoCrFeNiCuAl0.5 ,6,Co Cr Fe Ni Cu Al,1 1 1 1 1 0.5,1.269272727,0.041692079,1.815454545,0.109325505,8.272727273,2.339032787,1.58E+11,29.54755237,1968.105626,IM+SS
AuCdSn,3,Au Cd Sn,1 1 1,1.543333333,0.048422536,2.063333333,0.354620298,9,3.559026084,1.07E+11,80.40453276,95.60398792,IM
Al4(TiVCrCuFeMnCoNi)6,9,Al Ti V Cr Cu Fe Mn Co Ni,6 1 1 1 1 1 1 1 1,1.356071429,0.062761859,1.682857143,0.128864745,5.571428571,2.821202523,1.20E+11,42.27026745,146.5049113,IM+SS
Cr6Fe18Mo5,3,Cr Fe Mo,6 18 5,1.263689655,0.035956752,1.851724138,0.155830787,7.24137931,0.970430847,1.78E+11,23.93510847,1400.926346,IM
CrMnFe1.5Ni0.5Al0.5 ,5,Cr Mn Fe Ni Al,1 1 1.5 0.5 0.5,1.288777778,0.051632523,1.714444444,0.128764308,7,1.825741858,1.47E+11,32.50982757,361.1377915,IM+SS
Ni61Zr27Nb7Al5,4,Ni Zr Nb Al,61 27 7 5,1.3645,0.114578677,1.7167,0.254342505,7.68,2.921917179,1.45E+11,50.14077059,43.63942647,AM
TiZrHfCuNi,5,Ti Zr Hf Cu Ni,1 1 1 1 1,1.4334,0.103363704,1.596,0.265525893,6.6,3.2,1.22E+11,36.31498007,113.6579642,AM
CoFeReRu,4,Co Fe Re Ru,1 1 1 1,1.30125,0.043717578,1.9525,0.145150784,8,0.707106781,2.35E+11,80.15609771,2228.468185,SS
SrCaYbMgZn,5,Sr Ca Yb Mg Zn,1 1 1 1 1,1.7648,0.152531711,1.202,0.255765518,4.2,3.919183588,34978787879,20.97087403,119.5468891,AM
CoCrMnNiV,5,Co Cr Mn Ni V,1 1 1 1 1,1.2824,0.033312919,1.726,0.142912561,7.4,1.854723699,1.60E+11,21.9089023,330.9936127,SS
B6Co21V2,3,B Co V,6 21 2,1.166310345,0.152300645,1.895862069,0.096722755,7.482758621,2.499940546,2.08E+11,57.63471011,72.85265042,IM
Cu0.5NiAlCoCrFeSi,7,Cu Ni Al Co Cr Fe Si,0.5 1 1 1 1 1 1,1.263230769,0.063547119,1.806153846,0.117574099,7,2.717464882,1.44E+11,39.40324079,141.4808845,AM
AlCrCuFeNi,5,Al Cr Cu Fe Ni,1 1 1 1 1,1.2892,0.056280862,1.782,0.124161186,7.6,2.870540019,1.45E+11,37.04267809,644.599197,SS
CoCrCuFeNiZr ,6,Co Cr Cu Fe Ni Zr,1 1 1 1 1 1,1.311333333,0.099876652,1.751666667,0.206512039,8,2.380476143,1.50E+11,38.00711637,226.8526679,AM+IM
CuNi2FeCrAl0.9,5,Cu Ni Fe Cr Al,1 2 1 1 0.9,1.279457627,0.051473308,1.806610169,0.121384809,8.084745763,2.713982224,1.52E+11,35.17020624,487.5954928,SS
Mg65Cu15Zn10Y10,4,Mg Cu Zn Y,65 15 10 10,1.55205,0.094555407,1.4235,0.227382387,4.45,4.030818775,61350000000,33.91942659,172.1215242,AM
Al0.5CoCrCuFeNiV0.6 ,7,Al Co Cr Cu Fe Ni V,0.5 1 1 1 1 1 0.6,1.273868852,0.04093038,1.797213115,0.117586817,7.950819672,2.425454019,1.58E+11,28.06430976,818.571258,IM+SS
FeCoNiCrCuAl0.3,6,Fe Co Ni Cr Cu Al,1 1 1 1 1 0.3,1.263132075,0.034226856,1.823207547,0.103682636,8.471698113,2.142153506,1.61E+11,25.37437732,19079.22912,SS
AlCo3CrCu0.5FeNi,6,Al Co Cr Cu Fe Ni,1 3 1 0.5 1 1,1.274666667,0.048828481,1.813333333,0.110493841,7.933333333,2.322833519,1.59E+11,34.55211844,376.6608424,SS
Zr66Al8Cu12Ni14,4,Zr Al Cu Ni,66 8 12 14,1.50034,0.099572308,1.502,0.250543409,5.6,2.905167809,94830000000,40.85106404,53.47152509,AM
AlCo,2,Al Co,1 1,1.3415,0.067461796,1.745,0.135,6,3,1.28E+11,52,49.27674513,IM
CoTi,2,Co Ti,1 1,1.3565,0.077773682,1.71,0.17,6.5,2.5,1.45E+11,35,45.90862311,IM
AlCoCuNi,4,Al Co Cu Ni,1 1 1 1,1.30175,0.058520188,1.825,0.124599358,8.25,3.112474899,1.44E+11,42.52058325,250.7130681,SS
Ti50Ni20Cu25Sn5,4,Ti Ni Cu Sn,50 20 25 5,1.3807,0.08076088,1.725,0.185404962,6.95,3.278337994,1.29E+11,31.35267134,99.83823017,AM
Zr58.5Nb2.8Cu15.6Ni12.8Al10.3,5,Zr Nb Cu Ni Al,58.5 2.8 15.6 12.8 10.3,1.484119,0.101110103,1.52956,0.253052972,5.785,3.032618506,98905500000,41.97363839,63.68037122,AM
AlCoCrFeNiTi1.5,6,Al Co Cr Fe Ni Ti,1 1 1 1 1 1.5,1.324923077,0.074981813,1.723076923,0.145728125,6.461538462,2.560510304,1.43E+11,38.98353468,129.6839229,IM+SS
Al0.5CoCrCuFeNiTi1.2 ,7,Al Co Cr Cu Fe Ni Ti,0.5 1 1 1 1 1 1.2,1.303791045,0.067564849,1.766119403,0.144799967,7.507462687,2.678678301,1.49E+11,32.44804954,258.8771348,IM+SS
Fe73.5Si13.5B9Nb3Cu,5,Fe Si B Nb Cu,73.5 13.5 9 3 1,1.19724,0.106166726,1.85215,0.075999194,6.95,1.9150718,1.74E+11,51.78259843,67.03512507,SS
NbMoTaW,4,Nb Mo Ta W,1 1 1 1,1.39725,0.023104619,1.905,0.363696302,5.5,0.5,2.28E+11,52.14163404,673.4724644,SS
BiCuMg,3,Bi Cu Mg,1 1 1,1.436333333,0.091859055,1.743333333,0.31030451,6,3.741657387,72000000000,48.42175819,1164.036024,IM
Au29Ag5.5Pd2.3Cu26.9Si16.3,5,Au Ag Pd Cu Si,29 5.5 2.3 26.9 16.3,1.32625125,0.085282886,2.1426875,0.303697468,9.545,2.809888788,1.59E+11,49.3096086,87.42661056,AM
Al2CoCrCu0.5FeNi,6,Al Co Cr Cu Fe Ni,2 1 1 0.5 1 1,1.306153846,0.064576019,1.761538462,0.128053243,6.846153846,2.904801167,1.40E+11,44.18733654,227.8268924,SS
AlBe4Mn,3,Al Be Mn,1 4 1,1.215666667,0.103826936,1.573333333,0.017950549,3,1.825741858,1.19E+11,19.72026594,191.7271356,IM
Ni50Nb50,2,Ni Nb,50 50,1.3375,0.068411215,1.755,0.155,7.5,2.5,1.75E+11,5,51.73188461,AM
Mg65Cu25Gd10,3,Mg Cu Gd,65 25 10,1.54025,0.105473258,1.4465,0.263823331,4.35,3.850649296,68050000000,41.59143542,164.7644459,AM
Ni50Nb20Hf5Ti25,4,Ni Nb Hf Ti,50 20 5 25,1.3532,0.082227802,1.725,0.194486503,7.2,2.821347196,1.57E+11,31,71.15990099,AM
Au2Pb,2,Au Pb,2 1,1.544666667,0.093996068,2.47,0.098994949,8.666666667,3.299831646,1.62E+11,82.02438662,390.8917049,IM
Ni57.5Zr35Al7.5,3,Ni Zr Al,57.5 35 7.5,1.3849,0.120628776,1.6845,0.27136645,7.375,3.063392727,1.34E+11,53.53045538,33.24755417,AM
MgNi2,2,Mg Ni,1 2,1.364333333,0.122659618,1.71,0.282842712,7.333333333,3.771236166,1.35E+11,63.63961031,261.3089571,IM
AlCu2Ti,3,Al Cu Ti,1 2 1,1.3625,0.062505012,1.7375,0.164373812,7.25,3.766629793,1.17E+11,26.39602243,116.2409901,IM
CuCoNiCrAl1.3Fe,6,Cu Co Ni Cr Al Fe,1 1 1 1 1.3 1,1.289936508,0.056863912,1.789365079,0.122938532,7.603174603,2.803284256,1.47E+11,38.78541466,457.1882414,SS
Cu2Sb,2,Cu Sb,2 1,1.295333333,0.018924114,1.95,0.070710678,9,2.828427125,1.07E+11,46.19764304,123.415096,IM
Al13Ru4,2,Al Ru,13 4,1.409882353,0.028281193,1.748823529,0.250267677,4.176470588,2.120912515,1.10E+11,61.08228043,47.91100656,IM
AlMoNbSiTaTiVZr,8,Al Mo Nb Si Ta Ti V Zr,1 1 1 1 1 1 1 1,1.3985,0.086560415,1.65875,0.240698852,4.5,0.866025404,1.40E+11,55.20277881,143.8123197,AM
B6Ni21Sb2,3,B Ni Sb,6 21 2,1.163655172,0.151921601,1.946551724,0.059264216,8.206896552,2.940552497,1.99E+11,70.64217076,100.905782,IM
FeCoNiCuAl,5,Fe Co Ni Cu Al,1 1 1 1 1,1.2896,0.056094722,1.826,0.111462998,8.2,2.785677655,1.49E+11,39.4279089,463.2157394,SS
Ni57.5Zr30Nb5Al7.5,4,Ni Zr Nb Al,57.5 30 5 7.5,1.3762,0.116152692,1.698,0.259867274,7.425,3.015688147,1.39E+11,52.02216675,41.79459596,AM
Be2Ti,2,Be Ti,2 1,1.239333333,0.127043392,1.56,0.014142136,2.666666667,0.942809042,1.23E+11,9.428090416,40.26747755,IM
Sr40Al20Co20Y20,4,Sr Al Co Y,40 20 20 20,1.7578,0.209138042,1.322,0.369182882,3.8,2.638181192,64157575758,62.54431861,180.1845858,AM
Gd40Al24Co20Y16,4,Gd Al Co Y,40 24 20 16,1.6026,0.144754321,1.4376,0.27646743,4.2,2.4,76000000000,54.19225037,57.87307744,AM
Zr66Al8Cu7Ni19,4,Zr Al Cu Ni,66 8 7 19,1.49874,0.101361866,1.5025,0.251345877,5.55,2.819131072,96830000000,43.88039919,47.38211153,AM
AuPb2,2,Au Pb,1 2,1.647333333,0.088137956,2.4,0.098994949,6.333333333,3.299831646,1.04E+11,82.02438662,302.9668202,IM
YGdTbDyLu,5,Y Gd Tb Dy Lu,1 1 1 1 1,1.7786,0.013719577,1.202,0.056,3,4.44E-16,41340000000,3.541525095,0,SS
Al2B6Co20,3,Al B Co,2 6 20,1.171571429,0.161583745,1.895,0.102312546,7.285714286,2.710523709,2.03E+11,66.80645209,74.8938365,IM
FeNiCrCoAl2.5,5,Fe Ni Cr Co Al,1 1 1 1 2.5 ,1.318,0.068416796,1.739230769,0.127246674,6.230769231,2.805320389,1.35E+11,47.3961025,142.6306791,SS
Cu2Mg,2,Cu Mg,2 1,1.385666667,0.109884768,1.703333333,0.278128667,8,4.242640687,1.08E+11,44.78342948,289.4977826,IM
CoCrFeNiAl0.25,5,Co Cr Fe Ni Al,1 1 1 1 0.25,1.257647059,0.034780138,1.807647059,0.106026046,7.941176471,1.893350228,1.67E+11,24.08864828,411.0766165,SS
Au3In2,2,Au In,3 2,1.4892,0.038818129,2.236,0.372322441,7.8,3.919183588,1.45E+11,91.44925006,62.09412132,IM
Al45Cr7,2,Al Cr,45 7,1.407365385,0.044380905,1.616730769,0.017065615,3.403846154,1.023936886,87307692308,28.6702328,93.36877747,IM
Sb3Y5,2,Sb Y,3 5,1.625,0.140619088,1.53125,0.401822022,3.75,0.968245837,41375000000,0.484122918,15.18526313,IM
CuNi2FeCrAl0.4,5,Cu Ni Fe Cr Al,1 2 1 1 0.4,1.265333333,0.03859423,1.824814815,0.110398952,8.555555556,2.330686329,1.59E+11,27.62178421,1496.405452,SS
Al2CaSi2,3,Al Ca Si,2 1 2,1.4292,0.210275543,1.604,0.328670047,3.2,0.748331477,73800000000,30.36050065,38.4461542,IM
Ti2CrCuFeCoNi,6,Ti Cr Cu Fe Co Ni,2 1 1 1 1 1,1.312714286,0.07240603,1.751428571,0.154774358,7.428571429,2.610809555,1.50E+11,28.28427125,226.3270447,IM+SS
Al0.5NbTa0.8Ti1.5V0.2Zr,6,Al Nb Ta Ti V Zr,0.5 1 0.8 1.5 0.2 1,1.46964,0.049265412,1.5142,0.099721412,4.3,0.640312424,1.27E+11,47.36782781,435.5608033,SS
TaNbVTiAl0.5,5,Ta Nb V Ti Al,1 1 1 1 0.5,1.411777778,0.037375048,1.572222222,0.049615808,4.555555556,0.684934889,1.51E+11,40.37601048,444.9226413,SS
CuNbNiTiZr,5,Cu Nb Ni Ti Zr,1 1 1 1 1,1.4036,0.09258017,1.656,0.222225111,6.8,3.059411708,1.34E+11,40.03470716,149.8224845,AM
Ni65Nb5Cr5Mo5P14B6,6,Ni Nb Cr Mo P B,65 5 5 5 14 6,1.20955,0.107040659,1.9415,0.148501683,8.23,2.481350439,1.66E+11,71.56250694,68.89039088,AM
NbTaTiV,4,Nb Ta Ti V,1 1 1 1,1.40925,0.039347075,1.5675,0.050682837,4.75,0.433012702,1.60E+11,32.40370349,14090.29589,SS
AlB2,2,Al B,1 2,1.024,0.281737858,1.896666667,0.202703944,3,0,2.39E+11,115.0227031,0,IM
B2NiTa,3,B Ni Ta,2 1 1,1.079,0.247492994,1.8725,0.221514672,5.25,2.861380786,2.55E+11,65.38348415,54.59377065,IM
CuNiCoFeMn,5,Cu Ni Co Fe Mn,1 1 1 1 1,1.2732,0.031789341,1.814,0.134848063,9,1.414213562,1.58E+11,24,1496.735193,SS
CoCrCuFeMnNi,6,Co Cr Cu Fe Mn Ni,1 1 1 1 1 1,1.269166667,0.029966526,1.788333333,0.135820552,8.5,1.707825128,1.58E+11,21.9215774,2142.62112,SS
Al0.5CoCrFeNi,5,Al Co Cr Fe Ni,0.5 1 1 1 1,1.267333333,0.046023145,1.796666667,0.112546287,7.666666667,2.160246899,1.62E+11,31.31835734,307.5554519,SS
FeCoNiCrAlCu,6,Fe Co Ni Cr Al Cu,1 1 1 1 1 1,1.282833333,0.052811306,1.798333333,0.119082138,7.833333333,2.671869924,1.51E+11,36.21693895,611.1716551,IM+SS
Cu46Zr42Al7Y5,4,Cu Zr Al Y,46 42 7 5,1.45148,0.118644069,1.6063,0.28143438,7.1,3.612478374,1.02E+11,36.12964526,71.14195395,AM
Mo5Si3,2,Mo Si,5 3,1.28425,0.079163568,2.0625,0.125871959,5.25,0.968245837,1.81E+11,62.93597938,49.24802756,IM
Cu50Zr45Al5,3,Cu Zr Al,50 45 5,1.43195,0.110454894,1.629,0.277432875,7.45,3.55633238,1.06E+11,34.34249372,58.16880667,AM
Zr41Ti14Cu12.5Ni10Be22.5,5,Zr Ti Cu Ni Be,41 14 12.5 10 22.5,1.40006,0.139805008,1.54265,0.219468625,5.025,3.094248697,1.09E+11,36.34278451,76.68350663,AM
CrSi2,2,Cr Si,1 2,1.185,0.038189733,1.82,0.113137085,4.666666667,0.942809042,1.20E+11,28.28427125,35.82972657,IM
Al3Zr4,2,Al Zr,3 4,1.529714286,0.055319516,1.45,0.138564065,3.571428571,0.494871659,73047619048,2.556836906,25.60480839,IM
MoSi2,2,Mo Si,1 2,1.223,0.080944358,1.986666667,0.122565175,4.666666667,0.942809042,1.43E+11,61.2825877,42.7601125,IM
AlTiVCrCuFeMnCoNi,9,Al Ti V Cr Cu Fe Mn Co Ni,1 1 1 1 1 1 1 1 1,1.313888889,0.06034157,1.723333333,0.145754741,7,2.581988897,1.44E+11,33.58571125,295.499368,SS
AuCu3,2,Au Cu,1 3,1.319,0.053839335,2.06,0.277128129,11,0,1.60E+11,34.64101615,112.6886307,IM
Gd46Al24Co20Y20,4,Gd Al Co Y,36 24 20 20,1.60264,0.144772104,1.4384,0.275806889,4.2,2.4,76120000000,54.11123358,59.58506845,AM
AlNbTiV,4,Al Nb Ti V,1 1 1 1,1.40975,0.0394704,1.595,0.03354102,4.25,0.829156198,1.29E+11,38.11823711,166.5146405,SS
Mg6Pd,2,Mg Pd,6 1,1.568714286,0.050412957,1.437142857,0.311435124,3.142857143,2.799416849,64285714286,47.24015933,22.02766785,IM
Ni3Sn4,2,Ni Sn,3 4,1.459714286,0.126793306,1.938571429,0.024743583,6.571428571,2.969229956,1.10E+11,60.37434244,179.3709355,IM
Nd60Al10Ni10Cu16Fe4,5,Nd Al Ni Cu Fe,60 10 10 16 4,1.50592,0.113487044,1.4132,0.343804828,5.18,3.374551822,74000000000,56.9912274,62.76929353,AM
SrCaYbMgZn0.5Cu0.5,6,Sr Ca Yb Mg Zn Cu,1 1 1 1 0.5 0.5,1.7531,0.163688622,1.227,0.305681206,4.1,3.726929031,41978787879,37.02802354,171.6808277,AM
Cu0.5Ti0.5CrFeCoNiAl0.5,7,Cu Ti Cr Fe Co Ni Al,0.5 0.5 1 1 1 1 0.5,1.286,0.059680175,1.782727273,0.130877521,7.636363636,2.459590774,1.55E+11,32.32070697,304.9527927,SS
Al4Li9,2,Al Li,4 9,1.492230769,0.026908604,1.173846154,0.290769231,1.615384615,0.923076923,31000000000,30,108.8983474,IM
CrNbTiZr ,4,Cr Nb Ti Zr,1 1 1 1,1.43575,0.087813408,1.5325,0.12437343,4.75,0.829156198,1.28E+11,39.93647299,623.7631477,IM+SS
Cu0.5NiCoCrAl0.5Fe2,6,Cu Ni Co Cr Al Fe,0.5 1 1 1 0.5 2,1.263833333,0.040841549,1.810833333,0.101854335,8,2.081665999,1.61E+11,28.03965446,827.0532628,SS
Mg2Ni9Y,3,Mg Ni Y,2 9 1,1.3515,0.139676664,1.7525,0.273621545,8.083333333,3.328120925,1.46E+11,59.04159315,114.4623009,IM
Cu2In,2,Cu In,2 1,1.372,0.096892183,1.86,0.056568542,8.333333333,3.771236166,1.04E+11,50.28472023,75.07581178,IM
Al4Cu5,2,Al Cu,4 5,1.346444444,0.056833548,1.771111111,0.144102159,7.444444444,3.97523196,1.12E+11,31.80185568,813.2300093,IM
CuNiCoFeCrAl0.5V0.2,7,Cu Ni Co Fe Cr Al V,1 1 1 1 1 0.5 0.2,1.270912281,0.041456981,1.808947368,0.112681576,8.157894737,2.375233866,1.58E+11,29.0273218,1271.229529,SS
AlCoCrCuFeMoNiTiV,9,Al Co Cr Cu Fe Mo Ni Ti V Zr,1 1 1 1 1 1 1 1 1,1.315333333,0.060852754,1.791111111,0.185738433,6.888888889,2.601044425,1.56E+11,41.67007393,365.843119,SS
AlCuMg,3,Al Cu Mg,1 1 1,1.437,0.091796511,1.606666667,0.240878024,5.333333333,4.027681991,87000000000,39.55586766,441.4004453,IM
Cu60Zr20Hf10Ti10,4,Cu Zr Hf Ti,60 20 10 10,1.3914,0.103280651,1.69,0.264272587,8.2,3.42928564,1.20E+11,27.26617766,106.177956,AM
AlCoCrCuFeNiTiV,8,Al Co Cr Cu Fe Ni Ti V,1 1 1 1 1 1 1 1,1.309375,0.063384349,1.745,0.140267601,7,2.738612788,1.47E+11,34.46737588,259.2726043,SS
AlCoCrFeNi,5,Al Co Cr Fe Ni,1 1 1 1 1,1.2838,0.057778896,1.778,0.120565335,7.2,2.481934729,1.53E+11,39.30597919,220.0036308,IM+SS
Nd60Al10Ni10Cu10Fe10,5,Nd Al Ni Cu Fe,60 10 10 10 10,1.5037,0.115754332,1.409,0.338214429,5,3.130495168,75800000000,59.46730194,75.44000642,AM
Mg80Ni10Nd10,3,Mg Ni Nd,80 10 10,1.5694,0.069087087,1.353,0.192460386,2.9,2.385372088,57200000000,41.11642008,151.1310349,AM
Mg2Sm1,2,Mg Sm,2 1,1.670666667,0.058972593,1.263333333,0.065996633,2.333333333,0.471404521,42666666667,3.299831646,126.9507617,IM
B6Co21Sb2,3,B Co Sb,6 21 2,1.167275862,0.152900334,1.924827586,0.07266459,7.482758621,2.499940546,1.99E+11,70.64217076,107.3794598,IM
Cd5Li4Mg,3,Cd Li Mg,5 4 1,1.5517,0.018269005,1.368,0.335255127,6.6,5.407402334,29900000000,15.45606677,46.42624053,IM
